,Livesp,lat,Floor,Price,Dist,Kitsp,Walk,Bal,New,Rooms,lon,Totsp,Nfloors,N,Metrdist,Brick,District,Tel
142,74,55.739716,4,80000000,0.4078308705181054,15,1.0,1.0,0.0,3,37.604169,113,7,142,5,1.0,0,1.0
143,48,55.741432,5,87184454,0.4078308705181054,–,1.0,,,2,37.646568,"98,2",11,143,6,1.0,0,
144,"22,2",55.768061,11,9300000,0.4078308705181054,"7,5",1.0,1.0,0.0,2,37.678514,"39,5",12,144,5,0.0,0,1.0
145,"29,3",55.762439,6,9300000,0.4078308705181054,6,1.0,1.0,,2,37.54604,45,12,145,15,0.0,0,1.0
146,27,55.776598,8,9300000,0.4078308705181054,5,1.0,1.0,0.0,2,37.705634,42,9,146,7,1.0,0,1.0
147,"41,6",55.775753,2,9310992,0.4078308705181054,–,1.0,0.0,,1,37.671938,"41,6",,147,6,,0,
148,"42,6",55.776294,2,9356608,0.4078308705181054,–,1.0,0.0,0.0,1,37.672163,"42,6",6,148,5,1.0,0,0.0
149,22,55.774811,1,9390000,0.4078308705181054,8,1.0,,0.0,2,37.678559,37,9,149,2,0.0,0,1.0
150,"41,2",55.775753,4,9395149,0.4078308705181054,–,1.0,0.0,,1,37.671938,"41,2",,150,6,,0,
151,–,55.771218,8,9395500,0.4078308705181054,–,1.0,,,1,37.564721,"43,7",39,151,5,1.0,0,
152,18,55.74108,6,9400000,0.4078308705181054,"7,5",1.0,1.0,0.0,1,37.683877,"38,4",17,152,9,0.0,0,1.0
153,–,55.771218,7,9432900,0.4078308705181054,–,1.0,,,1,37.564721,"44,6",39,153,5,1.0,0,
154,29,55.73478,3,9500000,0.4078308705181054,6,1.0,1.0,0.0,2,37.653909,43,5,154,9,1.0,0,1.0
155,29,55.771641,4,9500000,0.4078308705181054,"6,8",1.0,1.0,0.0,2,37.569926,45,5,155,15,1.0,0,1.0
156,30,55.792124,3,9500000,0.4078308705181054,"7,8",1.0,1.0,0.0,2,37.627813,46,8,156,8,1.0,0,1.0
157,20,55.766694,5,9500000,0.4078308705181054,"9,6",1.0,1.0,0.0,1,37.570564,"35,2",12,157,9,0.0,0,1.0
158,19,55.758124,13,9500000,0.4078308705181054,"7,4",1.0,1.0,0.0,1,37.521632,38,17,158,15,0.0,0,0.0
159,18,55.769707,1,9500000,0.4078308705181054,6,1.0,,0.0,1,37.591117,30,5,159,4,1.0,0,0.0
160,18,55.769904,9,9500000,0.4078308705181054,9,1.0,1.0,0.0,1,37.566584,"33,9",9,160,11,1.0,0,
161,20,55.746466,6,9500000,0.4078308705181054,10,1.0,0.0,0.0,1,37.676412,"38,5",18,161,5,0.0,0,0.0
162,27,55.766724,10,9500000,0.4078308705181054,7,1.0,1.0,0.0,2,37.673519,45,12,162,10,0.0,0,1.0
163,"16,8",55.737345,3,9500000,0.4078308705181054,"7,9",1.0,1.0,0.0,1,37.693624,"36,9",24,163,15,1.0,0,1.0
164,22,55.787923,10,9500000,0.4078308705181054,"6,9",1.0,1.0,0.0,1,37.632224,"34,8",16,164,6,0.0,0,1.0
165,27,55.771312,2,9500000,0.4078308705181054,–,1.0,,0.0,2,37.655347,39,6,165,5,1.0,0,1.0
166,"36,6",55.775753,5,9574472,0.4078308705181054,–,1.0,0.0,,1,37.671938,"36,6",,166,6,,0,
167,"44,5",55.775753,1,9577570,0.4078308705181054,–,1.0,0.0,,1,37.671938,"44,5",,167,6,,0,
168,30,55.772396,1,9700000,0.4078308705181054,7,1.0,1.0,0.0,2,37.702706,50,14,168,11,1.0,0,1.0
169,"38,5",55.722142,7,38000000,0.4078308705181054,8,1.0,0.0,0.0,2,37.618569,"54,2",14,169,7,1.0,0,0.0
170,46,55.759745,2,31000000,0.4078308705181054,11,1.0,0.0,0.0,3,37.641144,78,7,170,5,1.0,0,1.0
171,"76,6",55.770208,3,27876000,0.4078308705181054,–,0.0,0.0,,2,37.638036,"76,6",8,171,7,1.0,0,
172,32,55.741642,3,9700000,0.4078308705181054,6,1.0,1.0,0.0,2,37.667483,38,17,172,11,0.0,0,1.0
173,29,55.785878,2,9700000,0.4078308705181054,"7,4",1.0,1.0,0.0,2,37.601034,"47,4",12,173,7,0.0,0,1.0
174,34,55.76601,1,9700000,0.4078308705181054,"5,5",1.0,,0.0,2,37.571462,43,5,174,7,1.0,0,1.0
175,20,55.766694,3,9700000,0.4078308705181054,9,1.0,1.0,0.0,1,37.570564,35,12,175,9,,0,1.0
176,42,55.775753,5,9746690,0.4078308705181054,–,1.0,0.0,,1,37.671938,42,,176,6,,0,
177,19,55.776051,12,9750000,0.4078308705181054,10,1.0,1.0,0.0,1,37.626556,"37,9",16,177,8,0.0,0,1.0
178,"46,2",55.776294,5,9768439,0.4078308705181054,–,1.0,0.0,0.0,2,37.672163,"46,2",6,178,5,1.0,0,0.0
179,–,55.775753,2,9769141,0.4078308705181054,–,1.0,,,1,37.671938,"44,5",6,179,9,1.0,0,
180,42,55.777742,6,9800000,0.4078308705181054,"5,5",1.0,1.0,0.0,3,37.706793,58,9,180,8,1.0,0,1.0
181,35,55.753889,10,9800000,0.4078308705181054,7,1.0,1.0,0.0,2,37.657305,46,12,181,4,0.0,0,1.0
182,"59,1",55.775753,3,9886025,0.4078308705181054,–,1.0,0.0,,1,37.671938,"59,1",,182,6,,0,
183,"59,1",55.775824,3,9886025,0.4078308705181054,–,1.0,0.0,0.0,3,37.67228,"59,1",6,183,5,1.0,0,0.0
184,15,55.765949,7,9900000,0.4078308705181054,8,1.0,,0.0,1,37.654224,30,8,184,7,0.0,0,1.0
185,32,55.767053,1,9900000,0.4078308705181054,7,1.0,1.0,0.0,2,37.585422,"44,6",9,185,15,1.0,0,1.0
186,"28,6",55.757962,4,9900000,0.4078308705181054,"5,5",1.0,1.0,0.0,2,37.562937,"42,6",5,186,10,1.0,0,1.0
187,"28,3",55.784228,7,9900000,0.4078308705181054,"6,5",1.0,1.0,0.0,2,37.595941,43,8,187,6,1.0,0,1.0
188,32,55.787801,7,9900000,0.4078308705181054,8,1.0,1.0,0.0,2,37.639671,49,12,188,12,0.0,0,0.0
189,"19,5",55.730086,10,9900000,0.4078308705181054,"9,1",1.0,1.0,0.0,1,37.633688,38,14,189,3,1.0,0,1.0
190,"46,2",55.776294,1,9930382,0.4078308705181054,–,1.0,0.0,0.0,2,37.672163,"46,2",6,190,5,1.0,0,0.0
191,27,55.747459,1,9950000,0.4078308705181054,5,1.0,,0.0,2,37.66,40,8,191,10,1.0,0,1.0
192,30,55.754988,3,9950000,0.4078308705181054,–,,1.0,0.0,3,37.536886,54,5,192,,1.0,0,1.0
193,20,55.740472,5,9990000,0.4078308705181054,10,1.0,1.0,0.0,1,37.584272,35,8,193,12,0.0,0,0.0
194,"19,9",55.744662,2,10000000,0.4078308705181054,"9,7",1.0,0.0,0.0,1,37.686437,"34,8",12,194,3,0.0,0,1.0
195,24,55.770902,14,10000000,0.4078308705181054,6,1.0,1.0,0.0,2,37.685251,39,14,195,6,0.0,0,1.0
196,20,55.753387,9,9999999,0.4078308705181054,10,1.0,1.0,0.0,1,37.522998,"35,1",12,196,10,0.0,0,1.0
197,90,55.740715,3,113768483,0.4078308705181054,–,1.0,1.0,0.0,4,37.581298,156,12,197,12,1.0,0,1.0
198,24,55.770942,3,10000000,0.4078308705181054,4,1.0,0.0,0.0,2,37.637596,33,5,198,4,1.0,0,1.0
199,40,55.745787,3,38000000,0.4078308705181054,11,1.0,,0.0,2,37.642743,"66,3",9,199,11,0.0,0,1.0
200,23,55.761365,8,10000000,0.4078308705181054,8,1.0,1.0,0.0,2,37.562236,38,9,200,4,0.0,0,1.0
201,23,55.72164,2,10000000,0.4078308705181054,6,1.0,,0.0,2,37.606658,38,9,201,5,0.0,0,1.0
202,28,55.755864,3,10000000,0.4078308705181054,6,1.0,1.0,0.0,2,37.537613,40,12,202,12,0.0,0,1.0
203,38,55.773768,1,10000000,0.4078308705181054,"5,4",0.0,,0.0,3,37.68791,"54,5",9,203,7,1.0,0,1.0
204,"25,1",55.747429,1,10000000,0.4078308705181054,"6,1",1.0,,0.0,2,37.660683,41,8,204,11,1.0,0,1.0
205,32,55.786273,7,10000000,0.4078308705181054,9,1.0,1.0,0.0,2,37.656838,48,14,205,14,0.0,0,1.0
206,32,55.786273,7,10000000,0.4078308705181054,9,1.0,1.0,0.0,2,37.656838,48,14,206,10,0.0,0,1.0
207,19,55.757997,3,10000000,0.4078308705181054,8,0.0,1.0,0.0,1,37.542653,35,12,207,15,1.0,0,0.0
208,"28,2",55.764967,9,10000000,0.4078308705181054,"5,1",1.0,1.0,0.0,2,37.56547,"41,5",9,208,3,1.0,0,1.0
209,28,55.773768,5,10000000,0.4078308705181054,6,1.0,1.0,0.0,2,37.68791,43,9,209,9,,0,0.0
210,28,55.774305,8,10029600,0.4078308705181054,11,1.0,1.0,0.0,2,37.642132,50,16,210,5,0.0,0,
211,32,55.767053,1,10100000,0.4078308705181054,7,1.0,1.0,0.0,2,37.585422,"44,6",9,211,11,1.0,0,1.0
212,32,55.767053,1,10100000,0.4078308705181054,7,1.0,1.0,0.0,2,37.585422,"44,6",9,212,10,1.0,0,1.0
213,31,55.738292,7,10100000,0.4078308705181054,10,0.0,,0.0,2,37.676062,52,12,213,,,0,1.0
214,43,55.775986,7,10190000,0.4078308705181054,6,1.0,1.0,0.0,3,37.680787,58,9,214,5,1.0,0,1.0
215,"48,4",55.770244,20,10200000,0.4078308705181054,–,1.0,,0.0,1,37.564689,"48,4",44,215,7,,0,
216,"15,1",55.730335,2,10290000,0.4078308705181054,8,1.0,,0.0,1,37.582035,"30,1",14,216,5,1.0,0,1.0
217,26,55.786996,4,10300000,0.4078308705181054,7,1.0,1.0,0.0,2,37.638045,39,12,217,9,0.0,0,1.0
218,19,55.741794,3,10300000,0.4078308705181054,6,1.0,1.0,0.0,1,37.579421,31,5,218,11,,0,1.0
219,"44,3",55.775753,5,10301984,0.4078308705181054,–,1.0,0.0,,1,37.671938,"44,3",,219,6,,0,
